cuvant,definitie,parte_de_vorbire,frecventa
ureche,"Fiecare dintre cele două organe ale auzului și echilibrului, așezate simetric de o parte și de alta a capului omului și mamiferelor, alcătuite dintr-o parte externă, una mijlocie și una internă.",substantiv,6402
jucător,"Persoană care practică un joc sportiv, de societate, de noroc etc.",substantiv,6395
rata,"A scăpa, a pierde o ocazie.",verb,6377
minge,"Obiect sferic (rar ovoidal), de diverse dimensiuni și greutăți, confecționat din cauciuc, piele, celuloid, material plastic etc. (umplut cu aer), care se folosește în diferite jocuri (sportive), în gimnastica medicală etc.; balon.;",substantiv,6358
han,"Titlu purtat, în evul mediu, de conducătorii mongoli și preluat de suveranii multor țări din Orient",substantiv,6330
jurat,cetățean ales pentru a participa la judecarea unor procese penale,substantiv,6327
fizic,"(Biol.) Care ține de corp, privitor la corp (considerat un ansamblu unitar)",adjectiv,6326
fotografia,"A fixa imaginea unui obiect, a unei persoane, a unui peisaj etc. pe o placă sau pe o hârtie fotografică sensibilă cu ajutorul unui aparat fotografic",verb,6323
dinainte,în jumătatea din față a corpului unui animal sau al unui om.,adjectiv,6315
umple,"A face ca un recipient, o cavitate etc. să fie pline",verb,6311
pisică,(prin specializare) pisică femelă,substantiv,6293
întârziere,Acțiunea de a amâna și rezultatul ei,substantiv,6289
central,"Care se află ( aproximativ) în centru, în mijloc",adjectiv,6274
grant,sumă de bani acordată pentru un anumit program sau proiect în diverse domenii de activitate,substantiv,6272
ban,Unitate monetară egală cu a suta parte dintr-un leu românesc,substantiv,6266
teorie,ansamblu de idei pe baza cărora se interpretează fapte sau evenimente care aparțin anumitor domenii sau categorii de fenomene.;,substantiv,6262
pretinde,A pretinde ceva în baza unui drept;,verb,6258
descoperi,"A lua, a ridica de pe un obiect sau de pe o persoană ceea ce le acoperă.",verb,6257
joi,"Ziua a patru a săptămânii, care urmează după miercuri.",substantiv,6253
furtună,"Vânt puternic însoțit de averse de ploaie, de grindinăși de descărcări electrice",substantiv,6243
acte,"(pl.) Titlu al unor periodice, colecții de lucrări științifice publicate de o societate, de o instituție",substantiv,6242
știut,"Care este binecunoscut, obișnuit cuiva",adjectiv,6214
transmite,"a face cunoscut, a aduce la cunoșință, a da știre",verb,6212
confuz,"Care nu este deslușit, clar, care nu se poate distinge (precis)",adjectiv,6207
efort,"Stăruință îndelungată, osteneală pentru a executa bine ceva, pentru a atinge un scop; efort susținut în muncă sau la învățătură; sârguință, străduință, strădanie, râvnă, zel.;",substantiv,6199
penny,"unitate monetară fracționară egală cu a suta parte dintr-o liră, folosită în Irlanda și în Marea Britanie",substantiv,6195
magic,care are sau folosește puteri supranaturale,adjectiv,6193
rade,"A tăia cu briciul sau cu mașina de ras părul, barba sau mustățile de la rădăcină",verb,6188
ceară,"Produs natural (de origine animală, vegetală sau minerală) sau sintetic, plastic, insolubil în apă, care se înmoaie și se topește la temperaturi destul de joase și care are numeroase utilizări în industria farmaceutică, electronică, a hârtiei, cosmetică etc.",substantiv,6187
oportunitate,Caracterul a ceea ce este oportun,substantiv,6187
